id;nombre;descripcion;url;puntos
1;Assistant;bluetooth;https://jailyn.org;7936
2;Missouri;Technician Cambridgeshire zero defect;https://ludie.name;10339
3;bifurcated exploit;Metal;https://jeramy.info;83042
4;solution-oriented revolutionize;Sausages;https://jordi.com;50795
5;bypassing Strategist payment;global;http://major.com;27697
6;Developer;Digitized uniform;https://arianna.org;56727
7;National Port;panel invoice;https://keven.org;69716
8;fault-tolerant;Supervisor Tasty Oval;https://nicolette.biz;47126
9;input;Colombian Peso Unidad de Valor Real;http://melyssa.com;3099
10;Via;Chicken Dynamic;https://abby.com;11373
