id;estado;fecha_apertura;fecha_cierre
1;false;2020-03-25T17:29:58;2020-03-25T14:21:02
2;false;2020-03-26T08:09:07;2020-03-25T18:31:58
3;false;2020-03-26T04:13:05;2020-03-25T21:01:13
4;false;2020-03-25T23:10:34;2020-03-25T23:22:26
5;false;2020-03-26T06:14:16;2020-03-26T09:48:46
6;false;2020-03-25T18:04:15;2020-03-26T05:32:18
7;false;2020-03-26T02:24:59;2020-03-26T11:40:43
8;true;2020-03-25T22:38:45;2020-03-26T02:28:50
9;false;2020-03-26T06:27:47;2020-03-26T03:17:29
10;false;2020-03-26T04:45:57;2020-03-25T22:59:47
